phenocode;pheno_sex;description;description_more
25246;both_sexes;Mean L1 in tapetum on FA skeleton (right);Mean L1 in tapetum (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25247;both_sexes;Mean L1 in tapetum on FA skeleton (left);Mean L1 in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25248;both_sexes;Mean L2 in middle cerebellar peduncle on FA skeleton;Mean L2 in middle cerebellar peduncle on FA (fractional anisotropy) skeleton (from dMRI data)
25249;both_sexes;Mean L2 in pontine crossing tract on FA skeleton;Mean L2 in pontine crossing tract on FA (fractional anisotropy) skeleton (from dMRI data)
25250;both_sexes;Mean L2 in genu of corpus callosum on FA skeleton;Mean L2 in genu of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)
25251;both_sexes;Mean L2 in body of corpus callosum on FA skeleton;Mean L2 in body of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)
25252;both_sexes;Mean L2 in splenium of corpus callosum on FA skeleton;Mean L2 in splenium of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)
25253;both_sexes;Mean L2 in fornix on FA skeleton;Mean L2 in fornix on FA (fractional anisotropy) skeleton (from dMRI data)
25254;both_sexes;Mean L2 in corticospinal tract on FA skeleton (right);Mean L2 in corticospinal tract (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25255;both_sexes;Mean L2 in corticospinal tract on FA skeleton (left);Mean L2 in corticospinal tract (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25256;both_sexes;Mean L2 in medial lemniscus on FA skeleton (right);Mean L2 in medial lemniscus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25257;both_sexes;Mean L2 in medial lemniscus on FA skeleton (left);Mean L2 in medial lemniscus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25258;both_sexes;Mean L2 in inferior cerebellar peduncle on FA skeleton (right);Mean L2 in inferior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25259;both_sexes;Mean L2 in inferior cerebellar peduncle on FA skeleton (left);Mean L2 in inferior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25260;both_sexes;Mean L2 in superior cerebellar peduncle on FA skeleton (right);Mean L2 in superior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25261;both_sexes;Mean L2 in superior cerebellar peduncle on FA skeleton (left);Mean L2 in superior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25262;both_sexes;Mean L2 in cerebral peduncle on FA skeleton (right);Mean L2 in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25263;both_sexes;Mean L2 in cerebral peduncle on FA skeleton (left);Mean L2 in cerebral peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25264;both_sexes;Mean L2 in anterior limb of internal capsule on FA skeleton (right);Mean L2 in anterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25265;both_sexes;Mean L2 in anterior limb of internal capsule on FA skeleton (left);Mean L2 in anterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25266;both_sexes;Mean L2 in posterior limb of internal capsule on FA skeleton (right);Mean L2 in posterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25267;both_sexes;Mean L2 in posterior limb of internal capsule on FA skeleton (left);Mean L2 in posterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25268;both_sexes;Mean L2 in retrolenticular part of internal capsule on FA skeleton (right);Mean L2 in retrolenticular part of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25269;both_sexes;Mean L2 in retrolenticular part of internal capsule on FA skeleton (left);Mean L2 in retrolenticular part of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25270;both_sexes;Mean L2 in anterior corona radiata on FA skeleton (right);Mean L2 in anterior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25271;both_sexes;Mean L2 in anterior corona radiata on FA skeleton (left);Mean L2 in anterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25272;both_sexes;Mean L2 in superior corona radiata on FA skeleton (right);Mean L2 in superior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25273;both_sexes;Mean L2 in superior corona radiata on FA skeleton (left);Mean L2 in superior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25274;both_sexes;Mean L2 in posterior corona radiata on FA skeleton (right);Mean L2 in posterior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25275;both_sexes;Mean L2 in posterior corona radiata on FA skeleton (left);Mean L2 in posterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25276;both_sexes;Mean L2 in posterior thalamic radiation on FA skeleton (right);Mean L2 in posterior thalamic radiation (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25277;both_sexes;Mean L2 in posterior thalamic radiation on FA skeleton (left);Mean L2 in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25278;both_sexes;Mean L2 in sagittal stratum on FA skeleton (right);Mean L2 in sagittal stratum (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25279;both_sexes;Mean L2 in sagittal stratum on FA skeleton (left);Mean L2 in sagittal stratum (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25280;both_sexes;Mean L2 in external capsule on FA skeleton (right);Mean L2 in external capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25281;both_sexes;Mean L2 in external capsule on FA skeleton (left);Mean L2 in external capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25282;both_sexes;Mean L2 in cingulum cingulate gyrus on FA skeleton (right);Mean L2 in cingulum cingulate gyrus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25283;both_sexes;Mean L2 in cingulum cingulate gyrus on FA skeleton (left);Mean L2 in cingulum cingulate gyrus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25284;both_sexes;Mean L2 in cingulum hippocampus on FA skeleton (right);Mean L2 in cingulum hippocampus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25285;both_sexes;Mean L2 in cingulum hippocampus on FA skeleton (left);Mean L2 in cingulum hippocampus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25286;both_sexes;Mean L2 in fornix cres+stria terminalis on FA skeleton (right);Mean L2 in fornix cres+stria terminalis (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25287;both_sexes;Mean L2 in fornix cres+stria terminalis on FA skeleton (left);Mean L2 in fornix cres+stria terminalis (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25288;both_sexes;Mean L2 in superior longitudinal fasciculus on FA skeleton (right);Mean L2 in superior longitudinal fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25289;both_sexes;Mean L2 in superior longitudinal fasciculus on FA skeleton (left);Mean L2 in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25290;both_sexes;Mean L2 in superior fronto-occipital fasciculus on FA skeleton (right);Mean L2 in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25291;both_sexes;Mean L2 in superior fronto-occipital fasciculus on FA skeleton (left);Mean L2 in superior fronto-occipital fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25292;both_sexes;Mean L2 in uncinate fasciculus on FA skeleton (right);Mean L2 in uncinate fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25293;both_sexes;Mean L2 in uncinate fasciculus on FA skeleton (left);Mean L2 in uncinate fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25294;both_sexes;Mean L2 in tapetum on FA skeleton (right);Mean L2 in tapetum (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25295;both_sexes;Mean L2 in tapetum on FA skeleton (left);Mean L2 in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25296;both_sexes;Mean L3 in middle cerebellar peduncle on FA skeleton;Mean L3 in middle cerebellar peduncle on FA (fractional anisotropy) skeleton (from dMRI data)
25297;both_sexes;Mean L3 in pontine crossing tract on FA skeleton;Mean L3 in pontine crossing tract on FA (fractional anisotropy) skeleton (from dMRI data)
25298;both_sexes;Mean L3 in genu of corpus callosum on FA skeleton;Mean L3 in genu of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)
25299;both_sexes;Mean L3 in body of corpus callosum on FA skeleton;Mean L3 in body of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)
25300;both_sexes;Mean L3 in splenium of corpus callosum on FA skeleton;Mean L3 in splenium of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)
25301;both_sexes;Mean L3 in fornix on FA skeleton;Mean L3 in fornix on FA (fractional anisotropy) skeleton (from dMRI data)
25302;both_sexes;Mean L3 in corticospinal tract on FA skeleton (right);Mean L3 in corticospinal tract (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25303;both_sexes;Mean L3 in corticospinal tract on FA skeleton (left);Mean L3 in corticospinal tract (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25304;both_sexes;Mean L3 in medial lemniscus on FA skeleton (right);Mean L3 in medial lemniscus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25305;both_sexes;Mean L3 in medial lemniscus on FA skeleton (left);Mean L3 in medial lemniscus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25306;both_sexes;Mean L3 in inferior cerebellar peduncle on FA skeleton (right);Mean L3 in inferior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25307;both_sexes;Mean L3 in inferior cerebellar peduncle on FA skeleton (left);Mean L3 in inferior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25308;both_sexes;Mean L3 in superior cerebellar peduncle on FA skeleton (right);Mean L3 in superior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25309;both_sexes;Mean L3 in superior cerebellar peduncle on FA skeleton (left);Mean L3 in superior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25310;both_sexes;Mean L3 in cerebral peduncle on FA skeleton (right);Mean L3 in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25311;both_sexes;Mean L3 in cerebral peduncle on FA skeleton (left);Mean L3 in cerebral peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25312;both_sexes;Mean L3 in anterior limb of internal capsule on FA skeleton (right);Mean L3 in anterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25313;both_sexes;Mean L3 in anterior limb of internal capsule on FA skeleton (left);Mean L3 in anterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25314;both_sexes;Mean L3 in posterior limb of internal capsule on FA skeleton (right);Mean L3 in posterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25315;both_sexes;Mean L3 in posterior limb of internal capsule on FA skeleton (left);Mean L3 in posterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25316;both_sexes;Mean L3 in retrolenticular part of internal capsule on FA skeleton (right);Mean L3 in retrolenticular part of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25317;both_sexes;Mean L3 in retrolenticular part of internal capsule on FA skeleton (left);Mean L3 in retrolenticular part of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25318;both_sexes;Mean L3 in anterior corona radiata on FA skeleton (right);Mean L3 in anterior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25319;both_sexes;Mean L3 in anterior corona radiata on FA skeleton (left);Mean L3 in anterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25320;both_sexes;Mean L3 in superior corona radiata on FA skeleton (right);Mean L3 in superior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25321;both_sexes;Mean L3 in superior corona radiata on FA skeleton (left);Mean L3 in superior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25322;both_sexes;Mean L3 in posterior corona radiata on FA skeleton (right);Mean L3 in posterior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25323;both_sexes;Mean L3 in posterior corona radiata on FA skeleton (left);Mean L3 in posterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25324;both_sexes;Mean L3 in posterior thalamic radiation on FA skeleton (right);Mean L3 in posterior thalamic radiation (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25325;both_sexes;Mean L3 in posterior thalamic radiation on FA skeleton (left);Mean L3 in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25326;both_sexes;Mean L3 in sagittal stratum on FA skeleton (right);Mean L3 in sagittal stratum (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25327;both_sexes;Mean L3 in sagittal stratum on FA skeleton (left);Mean L3 in sagittal stratum (left) on FA (fractional anisotropy) skeleton (from dMRI data)
